timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/14 05:15:09.902, NVIDIA GeForce RTX 4090, 94 %, 19206 MiB, 49140 MiB, 306.73 W
2026/08/14 05:15:10.902, NVIDIA GeForce RTX 4090, 50 %, 19206 MiB, 49140 MiB, 303.04 W
2026/08/14 05:15:11.902, NVIDIA GeForce RTX 4090, 28 %, 19206 MiB, 49140 MiB, 271.95 W
2026/08/14 05:15:12.903, NVIDIA GeForce RTX 4090, 48 %, 19206 MiB, 49140 MiB, 280.56 W
2026/08/14 05:15:13.903, NVIDIA GeForce RTX 4090, 60 %, 19206 MiB, 49140 MiB, 283.98 W
2026/08/14 05:15:14.903, NVIDIA GeForce RTX 4090, 75 %, 19206 MiB, 49140 MiB, 287.38 W
2026/08/14 05:15:15.904, NVIDIA GeForce RTX 4090, 57 %, 19206 MiB, 49140 MiB, 302.37 W
2026/08/14 05:15:16.904, NVIDIA GeForce RTX 4090, 35 %, 19206 MiB, 49140 MiB, 281.02 W
2026/08/14 05:15:17.904, NVIDIA GeForce RTX 4090, 49 %, 19206 MiB, 49140 MiB, 272.30 W
2026/08/14 05:15:18.904, NVIDIA GeForce RTX 4090, 50 %, 19206 MiB, 49140 MiB, 293.87 W
2026/08/14 05:15:19.905, NVIDIA GeForce RTX 4090, 75 %, 19206 MiB, 49140 MiB, 297.37 W
2026/08/14 05:15:20.905, NVIDIA GeForce RTX 4090, 99 %, 19206 MiB, 49140 MiB, 295.92 W
2026/08/14 05:15:21.905, NVIDIA GeForce RTX 4090, 0 %, 19206 MiB, 49140 MiB, 291.93 W
2026/08/14 05:15:22.906, NVIDIA GeForce RTX 4090, 0 %, 19206 MiB, 49140 MiB, 106.85 W
2026/08/14 05:15:23.906, NVIDIA GeForce RTX 4090, 0 %, 19206 MiB, 49140 MiB, 97.38 W
2026/08/14 05:15:24.906, NVIDIA GeForce RTX 4090, 50 %, 19206 MiB, 49140 MiB, 176.97 W
2026/08/14 05:15:25.906, NVIDIA GeForce RTX 4090, 48 %, 19206 MiB, 49140 MiB, 280.80 W
2026/08/14 05:15:26.906, NVIDIA GeForce RTX 4090, 59 %, 19206 MiB, 49140 MiB, 276.50 W
