timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/04 03:03:37.832, NVIDIA GeForce RTX 4090, 98 %, 35 %, 19204 MiB, 49140 MiB, 403.15 W
2026/08/04 03:03:38.833, NVIDIA GeForce RTX 4090, 99 %, 44 %, 19204 MiB, 49140 MiB, 404.54 W
2026/08/04 03:03:39.833, NVIDIA GeForce RTX 4090, 99 %, 50 %, 19204 MiB, 49140 MiB, 400.83 W
2026/08/04 03:03:40.836, NVIDIA GeForce RTX 4090, 89 %, 51 %, 19204 MiB, 49140 MiB, 400.50 W
2026/08/04 03:03:41.837, NVIDIA GeForce RTX 4090, 83 %, 47 %, 19204 MiB, 49140 MiB, 399.64 W
2026/08/04 03:03:42.840, NVIDIA GeForce RTX 4090, 91 %, 48 %, 19204 MiB, 49140 MiB, 399.45 W
2026/08/04 03:03:43.844, NVIDIA GeForce RTX 4090, 93 %, 40 %, 19204 MiB, 49140 MiB, 402.86 W
2026/08/04 03:03:44.845, NVIDIA GeForce RTX 4090, 96 %, 34 %, 19204 MiB, 49140 MiB, 403.64 W
2026/08/04 03:03:45.848, NVIDIA GeForce RTX 4090, 96 %, 32 %, 19204 MiB, 49140 MiB, 406.97 W
2026/08/04 03:03:46.849, NVIDIA GeForce RTX 4090, 98 %, 35 %, 19204 MiB, 49140 MiB, 403.26 W
2026/08/04 03:03:47.850, NVIDIA GeForce RTX 4090, 98 %, 44 %, 19204 MiB, 49140 MiB, 403.81 W
2026/08/04 03:03:48.850, NVIDIA GeForce RTX 4090, 96 %, 33 %, 19204 MiB, 49140 MiB, 393.44 W
2026/08/04 03:03:49.850, NVIDIA GeForce RTX 4090, 98 %, 34 %, 19204 MiB, 49140 MiB, 402.87 W
2026/08/04 03:03:50.852, NVIDIA GeForce RTX 4090, 98 %, 36 %, 19206 MiB, 49140 MiB, 405.78 W
2026/08/04 03:03:51.853, NVIDIA GeForce RTX 4090, 99 %, 43 %, 19206 MiB, 49140 MiB, 407.35 W
2026/08/04 03:03:52.853, NVIDIA GeForce RTX 4090, 99 %, 54 %, 19206 MiB, 49140 MiB, 407.54 W
2026/08/04 03:03:53.853, NVIDIA GeForce RTX 4090, 90 %, 53 %, 19206 MiB, 49140 MiB, 403.02 W
