timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/14 05:51:08.397, NVIDIA GeForce RTX 4090, 46 %, 19206 MiB, 49140 MiB, 274.40 W
2026/08/14 05:51:09.397, NVIDIA GeForce RTX 4090, 29 %, 19206 MiB, 49140 MiB, 270.72 W
2026/08/14 05:51:10.397, NVIDIA GeForce RTX 4090, 54 %, 19206 MiB, 49140 MiB, 289.18 W
2026/08/14 05:51:11.397, NVIDIA GeForce RTX 4090, 68 %, 19206 MiB, 49140 MiB, 284.32 W
2026/08/14 05:51:12.398, NVIDIA GeForce RTX 4090, 87 %, 19206 MiB, 49140 MiB, 292.84 W
2026/08/14 05:51:13.398, NVIDIA GeForce RTX 4090, 61 %, 19206 MiB, 49140 MiB, 290.95 W
2026/08/14 05:51:14.398, NVIDIA GeForce RTX 4090, 29 %, 19206 MiB, 49140 MiB, 275.08 W
2026/08/14 05:51:15.398, NVIDIA GeForce RTX 4090, 36 %, 19206 MiB, 49140 MiB, 264.46 W
2026/08/14 05:51:16.399, NVIDIA GeForce RTX 4090, 100 %, 19206 MiB, 49140 MiB, 329.62 W
2026/08/14 05:51:17.399, NVIDIA GeForce RTX 4090, 0 %, 19206 MiB, 49140 MiB, 175.15 W
2026/08/14 05:51:18.399, NVIDIA GeForce RTX 4090, 0 %, 19206 MiB, 49140 MiB, 105.85 W
2026/08/14 05:51:19.399, NVIDIA GeForce RTX 4090, 73 %, 19206 MiB, 49140 MiB, 125.07 W
2026/08/14 05:51:20.400, NVIDIA GeForce RTX 4090, 71 %, 19206 MiB, 49140 MiB, 264.55 W
2026/08/14 05:51:21.400, NVIDIA GeForce RTX 4090, 74 %, 19206 MiB, 49140 MiB, 254.32 W
2026/08/14 05:51:22.400, NVIDIA GeForce RTX 4090, 70 %, 19206 MiB, 49140 MiB, 289.52 W
2026/08/14 05:51:23.400, NVIDIA GeForce RTX 4090, 48 %, 19206 MiB, 49140 MiB, 264.78 W
2026/08/14 05:51:24.401, NVIDIA GeForce RTX 4090, 26 %, 19206 MiB, 49140 MiB, 262.41 W
2026/08/14 05:51:25.401, NVIDIA GeForce RTX 4090, 36 %, 19206 MiB, 49140 MiB, 276.68 W
2026/08/14 05:51:26.401, NVIDIA GeForce RTX 4090, 40 %, 19206 MiB, 49140 MiB, 279.03 W
2026/08/14 05:51:27.401, NVIDIA GeForce RTX 4090, 52 %, 19206 MiB, 49140 MiB, 284.58 W
2026/08/14 05:51:28.402, NVIDIA GeForce RTX 4090, 67 %, 19206 MiB, 49140 MiB, 284.69 W
2026/08/14 05:51:29.402, NVIDIA GeForce RTX 4090, 82 %, 19206 MiB, 49140 MiB, 294.24 W
2026/08/14 05:51:30.402, NVIDIA GeForce RTX 4090, 48 %, 19206 MiB, 49140 MiB, 284.67 W
2026/08/14 05:51:31.402, NVIDIA GeForce RTX 4090, 33 %, 19206 MiB, 49140 MiB, 275.24 W
2026/08/14 05:51:32.402, NVIDIA GeForce RTX 4090, 35 %, 19206 MiB, 49140 MiB, 271.48 W
2026/08/14 05:51:33.403, NVIDIA GeForce RTX 4090, 40 %, 19206 MiB, 49140 MiB, 280.56 W
2026/08/14 05:51:34.403, NVIDIA GeForce RTX 4090, 86 %, 19206 MiB, 49140 MiB, 306.25 W
2026/08/14 05:51:35.403, NVIDIA GeForce RTX 4090, 47 %, 19206 MiB, 49140 MiB, 307.69 W
2026/08/14 05:51:36.403, NVIDIA GeForce RTX 4090, 36 %, 19206 MiB, 49140 MiB, 272.42 W
2026/08/14 05:51:37.403, NVIDIA GeForce RTX 4090, 35 %, 19206 MiB, 49140 MiB, 275.50 W
2026/08/14 05:51:38.404, NVIDIA GeForce RTX 4090, 73 %, 19206 MiB, 49140 MiB, 295.17 W
2026/08/14 05:51:39.404, NVIDIA GeForce RTX 4090, 85 %, 19206 MiB, 49140 MiB, 297.26 W
2026/08/14 05:51:40.404, NVIDIA GeForce RTX 4090, 64 %, 19206 MiB, 49140 MiB, 294.81 W
2026/08/14 05:51:41.404, NVIDIA GeForce RTX 4090, 37 %, 19206 MiB, 49140 MiB, 285.40 W
